    0.26576E-02    0.58806E+04
    0.27113E-02    0.59788E+04
    0.27660E-02    0.60782E+04
    0.28219E-02    0.61787E+04
    0.28789E-02    0.62806E+04
    0.29371E-02    0.63836E+04
    0.29964E-02    0.64878E+04
    0.30569E-02    0.65932E+04
    0.31187E-02    0.66998E+04
    0.31817E-02    0.68077E+04
    0.32460E-02    0.69166E+04
    0.33115E-02    0.70268E+04
    0.33784E-02    0.71381E+04
    0.34467E-02    0.72506E+04
    0.35163E-02    0.73641E+04
    0.35874E-02    0.74788E+04
    0.36598E-02    0.75946E+04
    0.37338E-02    0.77115E+04
    0.38092E-02    0.78294E+04
    0.38861E-02    0.79484E+04
    0.39646E-02    0.80684E+04
    0.40447E-02    0.81894E+04
    0.41264E-02    0.83113E+04
    0.42098E-02    0.84342E+04
    0.42948E-02    0.85580E+04
    0.43816E-02    0.86827E+04
    0.44701E-02    0.88082E+04
    0.45604E-02    0.89346E+04
    0.46525E-02    0.90617E+04
    0.47465E-02    0.91895E+04
    0.48424E-02    0.93181E+04
    0.49402E-02    0.94473E+04
    0.50400E-02    0.95772E+04
    0.51419E-02    0.97076E+04
    0.52457E-02    0.98385E+04
    0.53517E-02    0.99699E+04
    0.54598E-02    0.10102E+05
    0.55701E-02    0.10234E+05
    0.56826E-02    0.10366E+05
    0.57974E-02    0.10499E+05
    0.59145E-02    0.10632E+05
    0.60340E-02    0.10765E+05
    0.61559E-02    0.10898E+05
    0.62803E-02    0.11031E+05
    0.64072E-02    0.11164E+05
    0.65366E-02    0.11297E+05
    0.66686E-02    0.11429E+05
    0.68033E-02    0.11562E+05
    0.69408E-02    0.11693E+05
    0.70810E-02    0.11825E+05
    0.72240E-02    0.11955E+05
    0.73700E-02    0.12085E+05
    0.75189E-02    0.12215E+05
    0.76708E-02    0.12343E+05
    0.78257E-02    0.12470E+05
    0.79838E-02    0.12597E+05
    0.81451E-02    0.12722E+05
    0.83096E-02    0.12845E+05
    0.84775E-02    0.12968E+05
    0.86488E-02    0.13089E+05
    0.88235E-02    0.13208E+05
    0.90017E-02    0.13325E+05
    0.91836E-02    0.13441E+05
    0.93691E-02    0.13554E+05
    0.95583E-02    0.13665E+05
    0.97514E-02    0.13774E+05
    0.99484E-02    0.13881E+05
    0.10149E-01    0.13985E+05
    0.10354E-01    0.14086E+05
    0.10564E-01    0.14184E+05
    0.10777E-01    0.14279E+05
    0.10995E-01    0.14371E+05
    0.11217E-01    0.14460E+05
    0.11443E-01    0.14545E+05
    0.11675E-01    0.14627E+05
    0.11910E-01    0.14705E+05
    0.12151E-01    0.14778E+05
    0.12397E-01    0.14848E+05
    0.12647E-01    0.14913E+05
    0.12902E-01    0.14974E+05
    0.13163E-01    0.15030E+05
    0.13429E-01    0.15082E+05
    0.13700E-01    0.15128E+05
    0.13977E-01    0.15169E+05
    0.14259E-01    0.15205E+05
    0.14547E-01    0.15235E+05
    0.14841E-01    0.15260E+05
    0.15141E-01    0.15279E+05
    0.15447E-01    0.15292E+05
    0.15759E-01    0.15299E+05
    0.16077E-01    0.15299E+05
    0.16402E-01    0.15294E+05
    0.16734E-01    0.15281E+05
    0.17072E-01    0.15262E+05
    0.17416E-01    0.15236E+05
    0.17768E-01    0.15204E+05
    0.18127E-01    0.15164E+05
    0.18493E-01    0.15117E+05
    0.18867E-01    0.15063E+05
    0.19248E-01    0.15002E+05
    0.19637E-01    0.14934E+05
    0.20034E-01    0.14858E+05
    0.20438E-01    0.14775E+05
    0.20851E-01    0.14685E+05
    0.21272E-01    0.14587E+05
    0.21702E-01    0.14482E+05
    0.22141E-01    0.14370E+05
    0.22588E-01    0.14251E+05
