2.000000e+11 1.977619e+00 1.643983e-02 8.474481e-01
2.046586e+11 1.971767e+00 1.610421e-02 8.492830e-01
2.094257e+11 1.965922e+00 1.577538e-02 8.511331e-01
2.143039e+11 1.960084e+00 1.545321e-02 8.529986e-01
2.192956e+11 1.954254e+00 1.513756e-02 8.548796e-01
2.244037e+11 1.948431e+00 1.482830e-02 8.567763e-01
2.296307e+11 1.942616e+00 1.452531e-02 8.586888e-01
2.349795e+11 1.936808e+00 1.422844e-02 8.606173e-01
2.404529e+11 1.931008e+00 1.393759e-02 8.625619e-01
2.460538e+11 1.925215e+00 1.365262e-02 8.645229e-01
2.517851e+11 1.919430e+00 1.337341e-02 8.665003e-01
2.576499e+11 1.913652e+00 1.309986e-02 8.684944e-01
2.636513e+11 1.907882e+00 1.283185e-02 8.705052e-01
2.697926e+11 1.902119e+00 1.256926e-02 8.725330e-01
2.760769e+11 1.896364e+00 1.231199e-02 8.745779e-01
2.825075e+11 1.890617e+00 1.205992e-02 8.766402e-01
2.890880e+11 1.884877e+00 1.181295e-02 8.787199e-01
2.958217e+11 1.879144e+00 1.157098e-02 8.808172e-01
3.027122e+11 1.873419e+00 1.133391e-02 8.829324e-01
3.097633e+11 1.867702e+00 1.110163e-02 8.850656e-01
3.169786e+11 1.861992e+00 1.087406e-02 8.872170e-01
3.243620e+11 1.856290e+00 1.065108e-02 8.893868e-01
3.319174e+11 1.850596e+00 1.043262e-02 8.915751e-01
3.396487e+11 1.844909e+00 1.021858e-02 8.937822e-01
3.475602e+11 1.839230e+00 1.000888e-02 8.960082e-01
3.556559e+11 1.833558e+00 9.803411e-03 8.982533e-01
3.639402e+11 1.827894e+00 9.602103e-03 9.005177e-01
3.724174e+11 1.822238e+00 9.404868e-03 9.028017e-01
3.810921e+11 1.816590e+00 9.211624e-03 9.051054e-01
3.899689e+11 1.810949e+00 9.022290e-03 9.074290e-01
3.990525e+11 1.805316e+00 8.836788e-03 9.097727e-01
4.083476e+11 1.799690e+00 8.655039e-03 9.121368e-01
4.178592e+11 1.794073e+00 8.476967e-03 9.145214e-01
4.275924e+11 1.788463e+00 8.302500e-03 9.169267e-01
4.375523e+11 1.782861e+00 8.131562e-03 9.193530e-01
4.477442e+11 1.777266e+00 7.964084e-03 9.218005e-01
4.581735e+11 1.771680e+00 7.799995e-03 9.242694e-01
4.688458e+11 1.766101e+00 7.639229e-03 9.267598e-01
4.797666e+11 1.760530e+00 7.481715e-03 9.292722e-01
4.909418e+11 1.754967e+00 7.327387e-03 9.318066e-01
5.023773e+11 1.749411e+00 7.176184e-03 9.343633e-01
5.140792e+11 1.743864e+00 7.028042e-03 9.369425e-01
5.260536e+11 1.738324e+00 6.882899e-03 9.395445e-01
5.383070e+11 1.732792e+00 6.740693e-03 9.421695e-01
5.508457e+11 1.727268e+00 6.601367e-03 9.448177e-01
5.636766e+11 1.721752e+00 6.464862e-03 9.474894e-01
5.768063e+11 1.716244e+00 6.331120e-03 9.501849e-01
5.902418e+11 1.710743e+00 6.200086e-03 9.529043e-01
6.039903e+11 1.705251e+00 6.071706e-03 9.556480e-01
6.180591e+11 1.699766e+00 5.945927e-03 9.584162e-01
6.324555e+11 1.694290e+00 5.822693e-03 9.612091e-01
6.471873e+11 1.688821e+00 5.701959e-03 9.640270e-01
6.622622e+11 1.683360e+00 5.583668e-03 9.668702e-01
6.776883e+11 1.677907e+00 5.467770e-03 9.697389e-01
6.934737e+11 1.672463e+00 5.354221e-03 9.726334e-01
7.096268e+11 1.667026e+00 5.242975e-03 9.755541e-01
7.261561e+11 1.661597e+00 5.133986e-03 9.785011e-01
7.430705e+11 1.656176e+00 5.027202e-03 9.814747e-01
7.603788e+11 1.650763e+00 4.922583e-03 9.844753e-01
7.780903e+11 1.645358e+00 4.820085e-03 9.875031e-01
7.962143e+11 1.639962e+00 4.719665e-03 9.905584e-01
8.147606e+11 1.634573e+00 4.621281e-03 9.936416e-01
8.337388e+11 1.629192e+00 4.524891e-03 9.967528e-01
8.531590e+11 1.623820e+00 4.430456e-03 9.998924e-01
8.730317e+11 1.618455e+00 4.337938e-03 1.003061e+00
8.933672e+11 1.613099e+00 4.247295e-03 1.006258e+00
9.141764e+11 1.607750e+00 4.158492e-03 1.009485e+00
9.354703e+11 1.602410e+00 4.071491e-03 1.012741e+00
9.572602e+11 1.597078e+00 3.986255e-03 1.016028e+00
9.795576e+11 1.591754e+00 3.902750e-03 1.019344e+00
1.002374e+12 1.586438e+00 3.820940e-03 1.022692e+00
1.025723e+12 1.581130e+00 3.740791e-03 1.026070e+00
1.049615e+12 1.575831e+00 3.662269e-03 1.029480e+00
1.074064e+12 1.570539e+00 3.585344e-03 1.032921e+00
1.099082e+12 1.565256e+00 3.509980e-03 1.036394e+00
1.124683e+12 1.559981e+00 3.436148e-03 1.039900e+00
1.150880e+12 1.554714e+00 3.363817e-03 1.043438e+00
1.177687e+12 1.549456e+00 3.292956e-03 1.047010e+00
1.205119e+12 1.544205e+00 3.223536e-03 1.050615e+00
1.233190e+12 1.538963e+00 3.155527e-03 1.054253e+00
1.261915e+12 1.533729e+00 3.088902e-03 1.057926e+00
1.291308e+12 1.528504e+00 3.023633e-03 1.061634e+00
1.321387e+12 1.523287e+00 2.959692e-03 1.065376e+00
1.352166e+12 1.518078e+00 2.897053e-03 1.069154e+00
1.383662e+12 1.512877e+00 2.835689e-03 1.072967e+00
1.415892e+12 1.507684e+00 2.775575e-03 1.076817e+00
1.448872e+12 1.502500e+00 2.716685e-03 1.080703e+00
